AVG	ENTROPY	FLAG	MEDIAN	MODE	P16	P2P5	P84	P97P5
0.14931	-5.01333	0	0.137154	0.2	-0.254839	-0.719643	0.509012	0.862821
0.26424	-4.87847	0	0.236655	0.25	-0.119079	-0.462245	0.596221	0.932895
-0.80801	-5.81587	0	-0.764687	-0.75	-1.51831	-2.43	-0.164286	0.390385
-0.94663	-5.88606	0	-0.880142	-0.5	-1.70724	-2.70312	-0.262389	0.25
-1.04045	-5.93047	0	-1.02891	-0.85	-1.81212	-2.65556	-0.343564	0.34
-0.7149	-5.9659	0	-0.706579	-0.6	-1.49342	-2.39	-0.0126316	0.775001
-0.66862	-6.05153	0	-0.634884	-0.4	-1.54138	-2.39375	0.0921347	0.810527
-0.77087	-5.96335	0	-0.709121	-0.35	-1.56186	-2.57368	-0.0484692	0.530303
-0.66547	-6.00204	0	-0.646539	-0.8	-1.46393	-2.4	0.077647	0.751923
-0.20732	-5.63096	0	-0.153378	-0.15	-0.760526	-1.86786	0.331349	0.855
-0.69401	-5.89677	0	-0.633667	-0.4	-1.45238	-2.40909	-0.00824178	0.563044
-0.8126	-5.94128	0	-0.794275	-0.55	-1.5871	-2.45357	-0.0866378	0.506818
-0.78406	-5.86238	0	-0.735621	-0.75	-1.52727	-2.50333	-0.109914	0.427273
0.31526	-5.03344	0	0.298246	0.5	-0.10102	-0.507407	0.671752	1.07679
-0.76492	-5.90003	0	-0.733858	-0.6	-1.51129	-2.4	-0.0797169	0.530953
-1.19823	-5.84897	0	-1.11975	-0.95	-1.94179	-2.975	-0.532692	-0.0421871
0.40034	-4.83337	0	0.389968	0.4	0.0326924	-0.361111	0.713889	1.01757
-1.03508	-5.99822	0	-0.978899	-0.7	-1.84412	-2.86389	-0.298314	0.306522
-1.00688	-5.93282	0	-0.9396	-0.55	-1.81169	-2.77857	-0.301923	0.248077
-0.79405	-5.89303	0	-0.762592	-0.8	-1.55	-2.445	-0.0972477	0.460715
