AVG	ENTROPY	FLAG	MEDIAN	MODE	P16	P2P5	P84	P97P5
-12.0518	-6.01426	0	-12.0315	-11.95	-12.8461	-13.78	-11.3106	-10.6
-12.1185	-5.91364	0	-12.0569	-11.6	-12.8866	-13.8868	-11.4114	-10.8885
-12.4921	-5.89611	0	-12.4755	-12.35	-13.2588	-14.0618	-11.7894	-11.1618
-12.1486	-6.0474	0	-12.1064	-12.15	-12.9917	-14.0267	-11.3972	-10.6905
-12.39	-5.9188	0	-12.3483	-12.25	-13.1405	-14.0625	-11.6796	-11.1028
-12.2907	-5.93515	0	-12.2489	-12.35	-13.0831	-14.0583	-11.5763	-11.0118
-12.294	-5.94217	0	-12.2786	-12.25	-13.0424	-13.9773	-11.5986	-10.8833
-11.1763	-4.89874	0	-11.2009	-11.15	-11.5672	-11.92	-10.8285	-10.5064
-11.4694	-6.04531	0	-11.3709	-11.2	-12.3375	-13.4792	-10.7871	-9.84565
-11.9039	-6.04433	0	-11.82	-11.5	-12.7936	-13.7773	-11.1103	-10.5788
-12.1926	-6.17294	0	-12.1685	-12	-13.1096	-14.0893	-11.342	-10.5921
-12.2653	-5.84607	0	-12.2092	-11.9	-13.0078	-13.8909	-11.6052	-11.0661
-12.2744	-5.88544	0	-12.2165	-11.85	-13.0385	-13.9765	-11.601	-11.0409
-12.2797	-5.94364	0	-12.2477	-11.9	-13.0506	-13.9679	-11.5956	-10.8773
-12.3451	-5.90913	0	-12.312	-12.1	-13.104	-13.9812	-11.6565	-11.0386
-12.0327	-5.85875	0	-11.9654	-11.85	-12.7777	-13.7206	-11.3778	-10.825
-12.4107	-5.87727	0	-12.3771	-12.25	-13.1638	-14.0625	-11.7071	-11.1764
-12.3585	-5.86719	0	-12.3012	-12.1	-13.1167	-14.0077	-11.7045	-11.1512
-12.4023	-5.82511	0	-12.3771	-12.5	-13.1157	-13.9731	-11.7596	-11.1625
-11.9775	-6.06967	0	-11.9485	-11.7	-12.82	-13.8333	-11.1901	-10.55
-12.181	-6.067	0	-12.1549	-11.8	-13.0544	-13.95	-11.4005	-10.6793
-12.3752	-5.87122	0	-12.3385	-12.3	-13.1143	-13.9974	-11.7202	-11.1083
-12.0793	-5.99008	0	-12.0042	-11.85	-12.9058	-13.9237	-11.3341	-10.7857
-12.3785	-5.81034	0	-12.3381	-12.1	-13.0813	-13.9143	-11.74	-11.158
-12.5334	-5.82867	0	-12.5143	-12.1	-13.2494	-14.0875	-11.8838	-11.3086
-12.4375	-5.90332	0	-12.4039	-12.3	-13.2069	-14.1	-11.7306	-11.1385
-12.0491	-5.86737	0	-11.9937	-11.85	-12.7807	-13.7714	-11.3795	-10.81
-11.1479	-5.048	0	-11.1694	-11.25	-11.5601	-12.0071	-10.7748	-10.4159
-10.7425	-4.95854	0	-10.7646	-10.7	-11.1401	-11.5043	-10.3975	-10.0162
-12.2968	-5.82842	0	-12.237	-12.15	-13.0129	-13.9533	-11.6486	-11.0969
-11.9552	-5.91016	0	-11.8941	-11.75	-12.7392	-13.71	-11.2495	-10.728
-12.5806	-5.93957	0	-12.5609	-12.8	-13.3588	-14.1981	-11.8636	-11.2125
-12.3791	-5.99476	0	-12.3709	-12.3	-13.1792	-14.1075	-11.644	-10.9273
-12.343	-6.07953	0	-12.3152	-12.3	-13.2454	-14.0476	-11.5468	-10.8648
-12.0394	-5.97921	0	-11.9701	-11.7	-12.85	-13.8594	-11.3041	-10.7413
-12.1538	-6.01791	0	-12.1302	-11.75	-12.9627	-13.9611	-11.3989	-10.736
-11.2602	-5.64721	0	-11.2132	-11.1	-11.8215	-12.91	-10.7099	-10.125
-12.2037	-5.8976	0	-12.1458	-11.95	-12.9644	-13.88	-11.5212	-10.9304
-12.443	-5.94392	0	-12.4344	-12.65	-13.215	-14.0611	-11.7146	-11.1278
-12.2932	-5.87855	0	-12.2503	-12.3	-13.0371	-14.0462	-11.6056	-11.063
-11.2593	-5.06877	0	-11.283	-11.3	-11.6874	-12.0905	-10.8969	-10.475
-12.3704	-5.91869	0	-12.3372	-12.2	-13.1238	-14.0353	-11.6847	-11.037
-11.993	-5.87064	0	-11.8982	-11.75	-12.7733	-13.7567	-11.3282	-10.813
-11.0032	-4.87807	0	-11.0208	-11.05	-11.3743	-11.7846	-10.6773	-10.3595
-12.0451	-6.00664	0	-11.987	-11.8	-12.8643	-13.8553	-11.2915	-10.68
-12.0191	-5.96001	0	-11.9507	-11.6	-12.8275	-13.8571	-11.2951	-10.7361
-12.1854	-5.88986	0	-12.1365	-12	-12.9493	-13.9026	-11.4837	-10.9556
-12.43	-5.86413	0	-12.3915	-12.25	-13.2037	-14.0545	-11.7551	-11.187
-12.2125	-6.05106	0	-12.1931	-12.2	-13.073	-14	-11.4459	-10.758
-10.4463	-4.59119	0	-10.4726	-10.4	-10.7662	-11.0364	-10.1758	-9.90152
-10.9962	-5.42987	0	-10.9674	-10.85	-11.4667	-12.5107	-10.535	-10.035
-12.2991	-5.90085	0	-12.2853	-12.3	-13.0315	-13.9404	-11.6248	-10.9864
-11.5107	-5.07614	0	-11.5228	-11.4	-11.9433	-12.3531	-11.1237	-10.7759
-12.2193	-6.13912	0	-12.2742	-12.3	-13.1118	-13.9937	-11.2759	-10.6585
-11.6084	-5.12144	0	-11.6308	-11.55	-12.0459	-12.4895	-11.2181	-10.8092
-11.2521	-5.41861	0	-11.1614	-11.05	-11.7553	-12.8773	-10.7851	-10.3857
-12.1569	-5.8514	0	-12.087	-11.9	-12.8882	-13.8971	-11.4816	-10.9683
-12.4136	-5.97144	0	-12.4132	-12.5	-13.1896	-14.1	-11.7	-10.9675
